date,value
2001/10/15,16.3
2001/12/03,6.6
2002/01/21,2.2
2002/02/27,9.61
2002/03/06,8.3
2002/04/24,13.76
2002/05/29,15.15
2002/06/10,13.84
2002/07/15,18.63
2002/08/19,23.4
2002/09/18,17.24
2002/10/14,12.8
2002/11/26,8.01
2002/12/02,6.34
2003/01/27,3.8
2003/02/26,7.3
2003/03/10,9.1
2003/04/02,11.3
2003/05/05,16.1
2003/06/09,19
2003/07/21,26
2003/09/15,18
2003/10/22,11.4
2003/11/17,10.2
2003/12/01,7.8
2004/01/28,7.3
2004/02/24,6.8
2004/03/16,10.2
2004/04/21,10.9
2004/05/03,10
2004/06/01,15.1
2004/08/09,23.4
2004/09/29,18.2
2004/10/20,15.1
2004/11/08,12
2004/12/13,7
2005/01/19,3
2005/02/02,1
2005/03/02,4
2005/04/05,12
2005/05/03,17
2005/06/06,23
2005/07/19,25
2005/08/22,20
2005/09/21,16.3
2006/02/13,9
2006/03/14,10
2006/04/18,14
2006/05/15,20
2006/06/13,25
2006/07/10,23
2006/08/01,30
2006/09/12,18.9
2006/10/09,19
2006/11/13,13
2006/12/11,6.9
2007/01/08,8
2007/02/12,12.1
2007/03/19,12
2007/04/24,17
2007/05/02,12
2007/06/11,22
2007/07/17,28
2007/08/27,25
2007/09/03,25
2007/10/09,18
2007/11/19,6
2007/12/18,6
2008/01/07,5.9
2008/02/11,8
2008/03/25,13
2008/04/28,17
2008/05/05,18
2008/06/09,16
2008/07/16,20
2008/08/13,25
2008/09/01,23
2008/10/08,15
2008/11/05,10
2008/12/23,5
2009/01/12,5
2009/02/09,8
2009/03/17,13
2009/04/27,14
2009/05/04,16
2009/06/08,19
2009/07/20,24
2009/08/25,25
2009/09/01,25
2009/11/16,13
2010/01/04,9
2010/02/08,8
2010/03/16,8
2010/05/03,13
2010/06/08,17
2010/07/19,20
2010/08/24,24
2010/09/01,22
2010/11/17,9
2010/12/01,6
2011/01/03,6
2011/02/08,6
2011/03/16,12
2011/04/06,15
2011/05/02,15
2011/06/08,17
2011/07/18,22
2011/08/29,24
2011/09/05,22
2011/10/03,20
2011/11/21,13
2011/12/12,7
2013/02/12,6
2013/05/14,14
2013/08/07,19
2013/11/11,5
2014/02/24,7
2014/05/21,17
2014/08/06,22
2014/11/05,12
2015/02/17,8
2015/05/14,18
2015/09/16,18
2015/11/04,11
2016/02/10,8
2016/05/25,18
2016/08/18,23
2016/11/10,10
2017/02/01,8
2017/05/11,17
2017/08/23,25
2017/11/22,6
2018/02/13,5
2018/05/30,15
2018/08/21,21
2018/11/29,7
2019/01/15,3
2019/02/06,5
2019/03/26,17
2019/04/24,15
2019/05/28,17
2019/06/18,22.3
2019/07/10,25
2019/09/25,22
2019/10/29,13
2019/11/12,7
2019/12/09,7
2020/02/18,11
2020/06/02,22
2020/07/07,28.1
2020/09/22,20
2020/10/20,24.4
2020/11/11,12.2
2020/12/02,7.7
2021/01/12,3.2
2021/02/09,7.5
2021/03/02,10
2021/04/20,12.9
2021/05/11,16.2
2021/06/08,22
2021/07/07,27
2021/08/04,23.3
2021/09/14,25
2021/10/05,19
2021/11/17,10.8
2021/12/01,5
2022/01/03,8
2022/02/07,5
2022/03/21,10
2022/04/19,14.5
2022/05/11,19
2022/06/08,27
2022/07/19,28.5
2022/08/31,23.6
2022/09/27,17.9
2022/10/18,16.9
2022/11/16,12
2022/12/19,8.2
2023/01/19,3.8
2023/02/23,9
2023/03/13,21
2023/04/18,14.4
2023/05/17,19.5
2023/06/20,19.2
2023/07/27,24.2
2023/08/28,18.8
2023/10/25,14.3
2023/11/20,11
2023/12/19,2.2
2024/01/22,5.3
2024/02/19,12
2024/03/25,13.8
2024/04/16,17.3
2024/05/15,14.5
2024/06/26,21.7
2024/07/23,24.9
2024/08/08,28.4
2024/09/17,18
2024/10/15,17.1
2024/11/18,10.6
2024/12/17,5.6
2025/02/25,11.9
2025/05/20,17
