date,value
2007/01/08,14.2
2007/02/12,6.5
2007/03/19,10.7
2007/04/24,6
2007/05/02,5.3
2007/06/11,37.7
2007/07/17,2.4
2007/08/27,3.9
2007/09/03,5.1
2007/10/09,6.8
2007/11/19,6.2
2007/12/18,7.6
2008/01/07,14.3
2008/02/11,4.9
2008/03/25,6.4
2008/04/28,4.9
2008/05/05,11.2
2008/06/09,4.9
2008/07/16,7.8
2008/08/13,6.1
2008/09/01,9.7
2008/10/08,9.5
2008/11/05,10
2008/12/23,11.1
2009/01/12,25.5
2009/02/09,25.5
2009/03/17,13.1
2009/04/27,14
2009/05/04,15.8
2009/06/08,8.2
2009/07/20,19.7
2009/08/25,20.9
2009/09/01,17.4
2009/11/16,21
2010/01/04,27.9
2010/02/08,22
2010/03/16,28.5
2010/05/03,9.1
2010/06/08,8.8
2010/07/19,8.4
2010/08/24,9
2010/09/01,13.8
2010/11/17,22.9
2010/12/01,17
2011/01/03,15.4
2011/02/08,15.4
2011/03/16,18.1
2011/04/06,19.2
2011/05/02,9.4
2011/06/08,9.2
2011/07/18,12.1
2011/08/29,14.2
2011/09/05,13.5
2011/10/03,12.4
2011/11/21,21.7
2011/12/12,25.8
2013/02/12,7
2013/05/14,13.5
2013/08/07,8.5
2013/11/11,28.8
2014/02/24,7.7
2014/05/21,4.9
2014/08/06,7.2
2014/11/05,13.5
2015/02/17,13.7
2015/05/14,5.6
2015/09/16,4.9
2015/11/04,4.9
2016/02/10,9.1
2016/05/25,21.2
2016/08/18,6.6
2016/11/10,7.5
2017/02/01,5.7
2017/05/11,4.9
2017/08/23,4.9
2017/11/22,10
2018/02/13,20.8
2018/05/30,6.3
2018/08/21,10
2018/11/29,27.2
2019/01/15,34.6
2019/02/06,23.5
2019/03/26,19.6
2019/04/24,12.2
2019/05/28,6.4
2019/06/18,5.8
2019/07/10,7.1
2019/08/19,12
2019/09/25,7.5
2019/10/29,10.3
2019/11/12,11.3
2019/12/09,10.6
2020/02/18,17.9
2020/06/02,19.8
2020/07/07,6.8
2020/08/05,11.4
2020/09/22,7.5
2020/10/20,16.4
2020/11/11,5.3
2020/12/02,18.1
2021/01/12,15.3
2021/02/09,14.9
2021/03/02,9.2
2021/04/20,52
2021/05/11,6
2021/06/08,4.9
2021/07/07,5.4
2021/08/04,4.9
2021/09/14,4.9
2021/10/05,7.2
2021/11/17,5.8
2021/12/01,7
2022/01/03,7.4
2022/02/07,14.1
2022/03/21,10.8
2022/04/19,4.9
2022/05/11,4.9
2022/06/08,4.9
2022/07/19,18.3
2022/08/31,4.9
2022/09/27,9.3
2022/10/18,6.3
2022/11/16,4.9
2022/12/19,7.8
2023/01/19,5.6
2023/02/23,5.2
2023/03/13,6.8
2023/04/18,4.9
2023/05/17,4.9
2023/06/20,6.2
2023/07/27,4.9
2023/08/28,7.1
2023/09/13,4.9
2023/10/25,5.1
2023/11/20,4.9
2023/12/19,4.9
2024/01/22,12.3
2024/02/19,4.9
2024/03/25,7.8
2024/04/16,4.9
2024/05/15,4.9
2024/06/26,4.9
2024/07/23,4.9
2024/08/08,4.9
2024/09/17,4.9
2024/10/15,9.4
2024/11/18,4.9
2024/12/17,6.3
2025/02/25,4.9
2025/05/20,9.7
